date,tic,cshtrd,prccd,prchd,prcld,prcod
2004-08-27,2514,2514,2514,2514,2514,2514
2004-08-30,2513,2513,2513,2513,2513,2513
2004-08-31,2515,2515,2515,2515,2515,2515
2004-09-01,2514,2514,2514,2514,2514,2514
2004-09-02,2511,2511,2511,2511,2511,2511
2004-09-03,2509,2509,2509,2509,2509,2509
2004-09-07,2509,2509,2509,2509,2509,2509
2004-09-08,2512,2512,2512,2512,2512,2512
2004-09-09,2512,2512,2512,2512,2512,2512
2004-09-10,2509,2509,2509,2509,2509,2509
2004-09-13,2514,2514,2514,2514,2514,2514
2004-09-14,2504,2504,2504,2504,2504,2504
2004-09-15,2513,2513,2513,2513,2513,2513
2004-09-16,2513,2513,2513,2513,2513,2513
2004-09-17,2508,2508,2508,2508,2508,2508
2004-09-20,2515,2515,2515,2515,2515,2515
2004-09-21,2516,2516,2516,2516,2516,2516
2004-09-22,2509,2509,2509,2509,2509,2509
2004-09-23,2504,2504,2504,2504,2504,2504
2004-09-24,2507,2507,2507,2507,2507,2507
2004-09-27,2512,2512,2512,2512,2512,2512
2004-09-28,2514,2514,2514,2514,2514,2514
2004-09-29,2513,2513,2513,2513,2513,2513
2004-09-30,2513,2513,2513,2513,2513,2513
2004-10-01,2507,2507,2507,2507,2507,2507
2004-10-04,2511,2511,2511,2511,2511,2511
2004-10-05,2504,2504,2504,2504,2504,2504
2004-10-06,2501,2501,2501,2501,2501,2501
2004-10-07,2502,2502,2502,2502,2502,2502
2004-10-08,2508,2508,2508,2508,2508,2508
2004-10-11,2497,2497,2497,2497,2497,2497
2004-10-12,2502,2502,2502,2502,2502,2502
2004-10-13,2505,2505,2505,2505,2505,2505
2004-10-14,2499,2499,2499,2499,2499,2499
2004-10-15,2503,2503,2503,2503,2503,2503
2004-10-18,2504,2504,2504,2504,2504,2504
2004-10-19,2505,2505,2505,2505,2505,2505
2004-10-20,2504,2504,2504,2504,2504,2504
2004-10-21,2500,2500,2500,2500,2500,2500
2004-10-22,2502,2502,2502,2502,2502,2502
2004-10-25,2499,2499,2499,2499,2499,2499
2004-10-26,2503,2503,2503,2503,2503,2503
2004-10-27,2508,2508,2508,2508,2508,2508
2004-10-28,2503,2503,2503,2503,2503,2503
2004-10-29,2507,2507,2507,2507,2507,2507
2004-11-01,2506,2506,2506,2506,2506,2506
2004-11-02,2501,2501,2501,2501,2501,2501
2004-11-03,2500,2500,2500,2500,2500,2500
2004-11-04,2502,2502,2502,2502,2502,2502
2004-11-05,2503,2503,2503,2503,2503,2503
2004-11-08,2508,2508,2508,2508,2508,2508
2004-11-09,2503,2503,2503,2503,2503,2503
2004-11-10,2492,2492,2492,2492,2492,2492
2004-11-11,2500,2500,2500,2500,2500,2500
2004-11-12,2499,2499,2499,2499,2499,2499
2004-11-15,2500,2500,2500,2500,2500,2500
2004-11-16,2500,2500,2500,2500,2500,2500
2004-11-17,2498,2498,2498,2498,2498,2498
2004-11-18,2503,2503,2503,2503,2503,2503
2004-11-19,2503,2503,2503,2503,2503,2503
2004-11-22,2506,2506,2506,2506,2506,2506
2004-11-23,2504,2504,2504,2504,2504,2504
2004-11-24,2496,2496,2496,2496,2496,2496
2004-11-26,2477,2477,2477,2477,2477,2477
2004-11-29,2503,2503,2503,2503,2503,2503
2004-11-30,2506,2506,2506,2506,2506,2506
2004-12-01,2502,2502,2502,2502,2502,2502
2004-12-02,2499,2499,2499,2499,2499,2499
2004-12-03,2502,2502,2502,2502,2502,2502
2004-12-06,2503,2503,2503,2503,2503,2503
2004-12-07,2500,2500,2500,2500,2500,2500
2004-12-08,2502,2502,2502,2502,2502,2502
2004-12-09,2498,2498,2498,2498,2498,2498
2004-12-10,2499,2499,2499,2499,2499,2499
