date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2004-09-24,716,900,826,2442,1.045045045045045,0.2932022932022932,0.36855036855036855,0.33824733824733827
2004-09-27,714,922,833,2469,1.048197650870798,0.2891859052247874,0.3734305386796274,0.33738355609558524
2004-09-28,704,941,835,2480,1.0528225806451612,0.2838709677419355,0.37943548387096776,0.33669354838709675
2004-09-29,711,926,848,2485,1.0551307847082494,0.2861167002012072,0.372635814889336,0.3412474849094567
2004-09-30,699,939,856,2494,1.0629510825982358,0.28027265437048915,0.37650360866078586,0.34322373696872494
2004-10-01,705,930,851,2486,1.0587288817377314,0.2835880933226066,0.37409493161705554,0.34231697506033787
2004-10-04,714,927,849,2490,1.0542168674698795,0.28674698795180725,0.372289156626506,0.3409638554216867
2004-10-05,714,936,838,2488,1.04983922829582,0.2869774919614148,0.3762057877813505,0.33681672025723475
2004-10-06,702,942,840,2484,1.0555555555555556,0.2826086956521739,0.37922705314009664,0.33816425120772947
2004-10-07,702,939,842,2483,1.0563834071687475,0.28272251308900526,0.37817156665324203,0.3391059202577527
2004-10-08,694,947,844,2485,1.0603621730382293,0.27927565392354126,0.3810865191146881,0.33963782696177064
2004-10-11,699,934,832,2465,1.0539553752535498,0.2835699797160243,0.37890466531440165,0.33752535496957403
2004-10-12,697,938,848,2483,1.0608135320177206,0.2807088199758357,0.37776882803060813,0.3415223519935562
2004-10-13,690,923,874,2487,1.0739847205468436,0.27744270205066346,0.3711298753518295,0.35142742259750703
2004-10-14,694,913,877,2484,1.0736714975845412,0.27938808373590984,0.3675523349436393,0.3530595813204509
2004-10-15,680,923,881,2484,1.0809178743961352,0.27375201288244766,0.3715780998389694,0.35466988727858295
2004-10-18,675,918,896,2489,1.0887906789875452,0.27119325030132585,0.36882282040980313,0.359983929288871
2004-10-19,665,918,902,2485,1.0953722334004024,0.2676056338028169,0.3694164989939638,0.36297786720321934
2004-10-20,659,916,911,2486,1.1013676588897827,0.26508447304907484,0.3684633950120676,0.3664521319388576
2004-10-21,666,914,906,2486,1.0965406275140788,0.26790024135156876,0.3676588897827836,0.36444086886564764
2004-10-22,670,924,896,2490,1.0907630522088354,0.26907630522088355,0.3710843373493976,0.3598393574297189
2004-10-25,671,917,896,2484,1.0905797101449275,0.27012882447665054,0.3691626409017713,0.3607085346215781
2004-10-26,670,914,908,2492,1.095505617977528,0.26886035313001605,0.3667736757624398,0.36436597110754415
2004-10-27,673,899,920,2492,1.0991171749598716,0.2700642054574639,0.36075441412520065,0.36918138041733545
2004-10-28,678,906,905,2489,1.0912012856568902,0.2723985536359984,0.3640016070711129,0.3635998392928887
2004-10-29,674,932,888,2494,1.0858059342421813,0.2702485966319166,0.3736968724939856,0.35605453087409783
2004-11-01,679,944,870,2493,1.076614520657842,0.2723626153229041,0.3786602486963498,0.3489771359807461
2004-11-02,677,948,866,2491,1.0758731433159374,0.27177840224809313,0.3805700521878764,0.3476515455640305
2004-11-03,674,962,854,2490,1.072289156626506,0.27068273092369477,0.3863453815261044,0.3429718875502008
2004-11-04,689,952,849,2490,1.0642570281124497,0.27670682730923696,0.3823293172690763,0.3409638554216867
2004-11-05,695,975,820,2490,1.0502008032128514,0.2791164658634538,0.39156626506024095,0.3293172690763052
2004-11-08,703,987,801,2491,1.039341629867523,0.28221597751906863,0.39622641509433965,0.3215576073865917
2004-11-09,709,990,784,2483,1.0302053966975433,0.28554168344744263,0.3987112364075715,0.3157470801449859
2004-11-10,727,998,754,2479,1.0108914885034288,0.2932634126663977,0.4025816861637757,0.3041549011698265
2004-11-11,731,994,760,2485,1.0116700201207243,0.2941649899396378,0.4,0.3058350100603622
2004-11-12,737,982,759,2478,1.0088781275221954,0.2974172719935432,0.3962873284907183,0.3062953995157385
2004-11-15,737,993,756,2486,1.0076427996781978,0.29646017699115046,0.3994368463395012,0.3041029766693483
2004-11-16,752,981,755,2488,1.0012057877813505,0.3022508038585209,0.3942926045016077,0.3034565916398714
2004-11-17,759,987,742,2488,0.9931672025723473,0.305064308681672,0.3967041800643087,0.2982315112540193
2004-11-18,771,979,738,2488,0.9867363344051447,0.30988745980707394,0.3934887459807074,0.2966237942122186
2004-11-19,755,1000,736,2491,0.9923725411481332,0.3030911280610197,0.40144520272982737,0.29546366920915296
2004-11-22,778,985,723,2486,0.9778761061946902,0.31295253419147223,0.39621882542236525,0.2908286403861625
2004-11-23,784,973,728,2485,0.9774647887323944,0.3154929577464789,0.39154929577464787,0.29295774647887324
2004-11-24,797,969,714,2480,0.9665322580645161,0.32137096774193546,0.3907258064516129,0.2879032258064516
2004-11-26,789,960,696,2445,0.9619631901840491,0.3226993865030675,0.39263803680981596,0.2846625766871166
2004-11-29,773,968,745,2486,0.9887369267900241,0.31094127111826225,0.3893805309734513,0.2996781979082864
2004-11-30,782,966,743,2491,0.9843436370935368,0.313930148534725,0.38779606583701326,0.29827378562826173
2004-12-01,769,981,739,2489,0.9879469666532744,0.30895942145439936,0.39413419043792686,0.2969063881076738
2004-12-02,761,966,757,2484,0.998389694041868,0.30636070853462155,0.3888888888888889,0.30475040257648955
2004-12-03,760,981,746,2487,0.9943707277844793,0.305589063128267,0.3944511459589867,0.29995979091274627
2004-12-06,757,977,756,2490,0.9995983935742971,0.3040160642570281,0.3923694779116466,0.3036144578313253
